entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
221955,DAGLB,-0.426291034,3.973101261,1.574420043,0.209566276,0.392120319
79149,ZSCAN5A,0.53226978,2.685887782,1.574394999,0.2095699,0.392120319
7763,ZFAND5,-0.304851877,8.814719586,1.574180316,0.209600968,0.392120319
10139,ARFRP1,0.440436662,4.621674523,1.574077084,0.209615909,0.392120319
317781,DDX51,0.503087615,5.27501817,1.573974532,0.209630753,0.392120319
92689,FAM114A1,0.586054475,3.149529173,1.572888707,0.209787999,0.39235763
1175,AP2S1,0.313249686,6.477800731,1.572021711,0.209913655,0.3925358
64581,CLEC7A,-0.831986726,2.542910137,1.57101351,0.210059889,0.392752392
1737,DLAT,-0.388962085,4.540198659,1.570676053,0.210108862,0.392787097
79005,SCNM1,0.310217307,5.790517695,1.569853097,0.210228349,0.392863084
59283,CACNG8,-0.996904647,4.005703122,1.569784628,0.210238294,0.392863084
4651,MYO10,0.475588003,4.96719778,1.569767657,0.210240759,0.392863084
149041,RC3H1,-0.274795718,5.550270717,1.569479946,0.210282554,0.392884344
23271,CAMSAP2,-0.351012043,6.292231536,1.56874324,0.21038962,0.393014377
4817,NIT1,0.269316468,7.092218659,1.568376144,0.210442994,0.393014377
23556,PIGN,-0.454482714,4.366419241,1.568373095,0.210443437,0.393014377
29915,HCFC2,-0.347624263,6.055699867,1.567809344,0.210525435,0.393081577
9727,RAB11FIP3,0.462606574,7.087035829,1.567707264,0.210540287,0.393081577
1879,EBF1,-0.515529568,2.383897557,1.567236079,0.210608856,0.393152766
4695,NDUFA2,-0.346280852,7.286457658,1.566896705,0.21065826,0.393163736
987,LRBA,-0.395397621,5.522887582,1.566623013,0.210698113,0.393163736
27291,R3HCC1L,-0.321491617,4.333508453,1.566568488,0.210706053,0.393163736
56890,MDM1,-0.457103767,3.603385312,1.566308784,0.210743878,0.393177515
80816,ASXL3,-0.631553501,1.507821112,1.565921948,0.210800236,0.393191138
55066,PDPR,0.409523401,5.335232157,1.565757135,0.210824252,0.393191138
