entrez_id,logFC,PValue
1054,1.830180858,0.000117766
116966,-1.446309631,0.000118739
260293,-3.386373853,0.000118776
8612,-2.621477838,0.000119725
1969,1.514372085,0.000119748
338758,-1.512071824,0.000120027
9079,-1.97205316,0.000120675
9666,-1.170710015,0.000120732
30845,-1.737807304,0.000121807
23253,-1.485655105,0.000122637
80760,-1.739530171,0.000123002
107,-2.762178622,0.000124866
3914,1.902585302,0.000125279
6749,0.938052585,0.000125461
7837,1.834671734,0.000126166
54566,-3.040429891,0.000126619
55647,1.825763295,0.000128513
79772,-2.638152818,0.000128746
121793,-2.07068992,0.000128935
55509,1.796224235,0.000129635
10858,-2.539470762,0.000130211
54149,-2.659996293,0.00013103
2590,1.073863899,0.0001314
23259,-0.99785424,0.000131807
139728,-2.37869682,0.00013226
6785,-1.934328966,0.000132345
9372,-1.258125061,0.000133518
54478,2.597811326,0.000133682
11075,-3.933769878,0.000134417
79957,-2.079260326,0.0001345
22841,-1.087055823,0.000134722
55613,-2.230587019,0.000134965
51287,1.100784394,0.000135621
84833,-1.42395931,0.000135744
59351,-2.362543924,0.000136167
84962,2.146886442,0.00013633
25778,-1.046605535,0.000137196
23096,-1.983308046,0.000138292
9648,-1.150293856,0.000139219
285590,1.585734841,0.000139392
132320,-1.197064652,0.000140332
2444,-2.561486463,0.00014077
523,-1.504082232,0.000141508
201229,-2.043983147,0.000141999
64084,-2.479763392,0.000142366
259232,-2.863132822,0.000142399
55607,-1.820904203,0.00014242
28512,-1.277993939,0.000143091
871,1.885159382,0.000143422
